cluster,n_events,lat,lon,top_region,first_year,last_year
0,6332,38.471864874398314,-108.02807270114762,North America,2014,2026
19,1382,7.395942916472597,26.924738181653392,Africa,2024,2026
4,1256,-16.274769897934455,131.10480818034287,Oceania,2015,2026
1,885,-7.190340513055254,20.83261101324871,Africa,2024,2026
5,491,54.94147696994779,-99.95512950628674,North America,2017,2026
7,387,-16.28208955151493,-60.28557938648754,South America,2017,2026
24,370,18.86652768772118,99.42534760198853,East Asia,2016,2026
11,282,53.522682753341,115.61401713710421,East Asia,2024,2026
2,235,-10.704502016744971,29.9372729167978,Africa,2024,2026
9,232,-16.36075897110351,18.91918440413285,Africa,2015,2025
8,225,-11.142378924076137,-46.513750349373424,South America,2024,2026
13,220,-15.822167386888259,143.2096646201032,Oceania,2024,2026
18,196,9.628643932704868,-0.702130046868304,Africa,2024,2026
17,192,45.880211929027816,-92.11053417692231,North America,2016,2026
26,129,64.7451868869169,-147.22805261417759,North America,2015,2026
10,123,-14.749561590224882,37.81145613281937,Africa,2024,2025
6,115,-11.221308585892007,-50.67688036693509,South America,2024,2026
16,90,52.365947452603145,128.84376469392788,East Asia,2024,2026
3,84,59.48764729775278,-120.65181982399504,North America,2018,2026
25,70,21.85995674945527,93.09860914415269,South Asia,2025,2026
22,62,-37.8105186669544,-72.4971587514139,South America,2017,2026
21,59,10.569127201593167,5.6174432505659615,Africa,2024,2026
27,52,2.6082186333273465,22.279456896958738,Africa,2026,2026
30,50,-33.72373182904,-71.36691295696001,South America,2017,2021
15,48,41.20464868949225,-7.652526121970317,Europe,2016,2026
12,47,64.75345151156134,-120.36703907393002,North America,2024,2026
20,46,12.639481618243716,-13.325151955982678,Africa,2024,2026
28,46,45.872169514017365,126.04847738910433,East Asia,2025,2026
23,45,6.920902645431651,-69.01867657179402,South America,2025,2026
14,30,-20.934105112189357,-48.1092110096794,South America,2024,2024
29,30,-14.951728849730761,26.098026720730285,Africa,2024,2026
